"SENADO DE LA NACIÓN
PROSECRETARÍA PARLAMENTARIA",
ACUERDOS PARA DAR CUENTA,
EXPTE. N°,AUTORES Y CONTENIDO
PE-269/26,"MENSAJE N° 250/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ PENAL FEDERAL DEL JUZGADO FEDERAL DE GARANTIAS CON ASIENTO EN LA CIUDAD DE ROSARIO, PROVINCIA DE SANTA FE, AL DR. FRANCO MARIANO CARBONE."
PE-268/26,"MENSAJE N° 249/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DEL JUZGADO FEDERAL DE PRIMERA INSTANCIA DE LA SEGURIDAD SOCIAL N° 8 DE LA CAPITAL FEDERAL, A LA DRA. MARIA DE LOS ANGELES SAPIN."
PE-267/26,"MENSAJE N° 248/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DEL JUZGADO FEDERAL DE PRIMERA INSTANCIA DE LA SEGURIDAD SOCIAL N° 6 DE LA CAPITAL FEDERAL, A LA DRA. VALERIA ALICIA BERTOLINI."
PE-266/26,"MENSAJE N° 247/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL Y CORRECCIONAL N° 30 DE LA CAPITAL FEDERAL, AL DR. ARIEL ALEJANDRO VILAR."
PE-265/26,"MENSAJE N° 246/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DE CAMARA DEL TRIBUNAL ORAL EN LO PENAL ECONOMICO N° 2 DE LA CAPITAL FEDERAL, AL DR. FEDERICO JOSE IUSPA."
PE-264/26,"MENSAJE N° 245/26 QUE SOLICITA ACUERDO PARA DESIGNAR DEFENSORA AUXILIAR DE LA DEFENSORIA GENERAL DE LA NACION, A LA DRA. ROMINA SOLEDAD PARABONI."
PE-263/26,"MENSAJE N° 244/26 QUE SOLICITA ACUERDO PARA DESIGNAR DEFENSORA PUBLICA OFICIAL ANTE LOS JUZGADOS NACIONALES EN LO CRIMINAL Y CORRECCIONAL Y ANTE LA CAMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, DEFENSORIA N° 12, A LA DRA. MARIA LUCRECIA SAMMARTINO."
PE-262/26,"MENSAJE N° 243/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ PENAL FEDERAL DEL JUZGADO FEDERAL DE GARANTIAS CON ASIENTO EN LA CIUDAD DE SAN LORENZO, PROVINCIA DE SANTA FE, AL DR. EMILIANO PEDRO MENDEZ ORTIZ."
PE-261/26,"MENSAJE N° 242/26 QUE SOLICITA ACUERDO A FIN DE POSIBILITAR UN NUEVO NOMBRAMIENTO DEL FISCAL GENERAL ANTE LOS TRIBUNALES ORALES DE MENORES DE LA CAPITAL FEDERAL, FISCALIA N° 2, A LA DRA. SUSANA MARTA PERNAS."
PE-260/26,"MENSAJE N° 241/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL FEDERAL DE LA SEDE FISCAL DESCENTRALIZADA DE CALETA OLIVIA, PROVINCIA DE SANTA CRUZ, AL DR. LUCAS ALBERTO COLLA."
PE-259/26,"MENSAJE N° 240/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL ANTE EL JUZGADO FEDERAL DE PRIMERA INSTANCIA EN LO CIVIL, COMERCIAL Y CONTENCIOSO ADMINISTRATIVO DE POSADAS, PROVINCIA DE MISIONES, FISCALIA N° 2, AL DR. ARLINDO OTTO KURTZ."
